,SMILES,%F,logK(%F),MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule,Category
1208,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,60.0,0.176091259,277.269,8,1,1.1457999999999997,1,0
1209,Cn1cnc2c1c(O)nc(=O)n2C,80.0,0.6020599913279624,180.167,6,1,-0.6274000000000004,1,1
1210,Cn1nnc2c(C(=N)O)[nH]nc2c1=O,96.0,1.380211241711606,194.154,6,3,-1.0650300000000006,1,1
1211,Cn1nnc2c(C(N)=O)n[nH]c2c1=O,96.0,1.380211242,194.154,6,2,-1.8495,1,1
1212,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(N=C(O)C(O)c3ccccc3)C2SC1,96.0,1.380211241711606,462.5130000000001,10,3,0.6147000000000007,1,1
1213,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,96.0,1.380211242,462.5130000000001,10,3,-0.2255999999999989,1,1
1214,Fc1ccc(-c2cncc(CNCC3CCc4ccccc4O3)c2)cc1,89.0,0.9079973214866878,348.42100000000005,3,1,4.371100000000003,1,1
1215,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,85.0,0.7533276666586115,404.5040000000001,2,0,5.3852000000000055,0,1
1216,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,50.0,0.0,329.3710000000001,4,1,3.326500000000002,1,0
1217,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,32.0,-0.3273589343863303,386.8010000000001,2,0,5.026200000000003,0,0
1218,N#CC1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,85.0,0.7533276666586115,303.4060000000001,4,2,1.1742799999999989,1,1
1219,N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,95.0,1.2787536009528289,357.772,4,1,2.8951800000000008,1,1
1220,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,99.0,1.99563519459755,285.31,5,0,2.65916,1,1
1221,N#Cc1ccccc1OCC(O)CNCCNC(=O)Cc1ccc(O)cc1,8.0,-1.06069784,369.4210000000001,6,4,0.95208,1,0
1222,N=C(N)N=C(O)Cc1c(Cl)cccc1Cl,81.0,0.6297314179258209,246.097,1,3,2.3858700000000006,1,1
1223,N=C(N)N=C(O)c1nc(Cl)c(N)nc1N,50.0,0.0,229.631,5,5,-0.50753,1,0
1224,N=C(N)NC(=N)NCCc1ccccc1,55.0,0.0871501757189002,205.265,2,5,0.2365400000000008,1,0
1225,N=C(N)NCC1COc2ccccc2O1,50.0,0.0,207.233,3,3,0.3094699999999997,1,0
1226,N=C(N)NCCCC(N)C(=O)O,68.0,0.3273589343863303,174.204,3,5,-1.338429999999999,1,0
1227,N=C(N)NCCCCC1N=C(O)CCSSCC(C(=N)O)N=C(O)C2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)N=C(O)C(CC(=O)O)N=C(O)CN=C1O,0.01,-3.999956568380192,831.9790000000002,11,12,3.406740000000005,0,0
1228,N=C(N)NCCCCC1NC(=O)CCSSCC(C(N)=O)NC(=O)C2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC(=O)O)NC(=O)CNC1=O,0.0,-2.0,831.9790000000002,11,11,-1.844729999999989,0,0
1229,N=C(N)NCCN1CCCCCCC1,20.0,-0.602059991,198.3139999999999,2,3,0.7355699999999996,1,0
1230,N=C(N)NN=Cc1c(Cl)cccc1Cl,75.0,0.4771212547196624,231.086,2,3,1.8103700000000005,1,0
1231,N=C(N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1,42.0,-0.1401787031650368,337.4560000000001,7,6,-0.1578599999999995,0,0
1232,N=C(N)c1ccc(CN=C(O)C2CCN2C(=O)C(NCC(=O)O)C2CCCCC2)cc1,5.0,-1.278753600952829,429.5210000000003,5,5,1.6511699999999996,1,0
1233,N=C(N)c1ccc(CNC(=O)C2CCN2C(=O)C(NCC(=O)O)C2CCCCC2)cc1,5.0,-1.278753601,429.5210000000002,5,5,0.8108700000000015,1,0
1234,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0.0,-2.0,340.427,4,4,2.8828400000000007,1,0
1235,N=C(O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,17.0,-0.6886291709978,426.5600000000003,3,2,5.007470000000005,0,0
1236,N=C(O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccc(Cl)cc32)CC1,18.0,-0.6585413472804106,481.0840000000002,4,2,5.822570000000007,0,0
1237,N=C(O)CCCNC(=C1C=C(F)C=CC1=O)c1ccc(Cl)cc1,60.0,0.1760912590556812,334.778,3,3,3.948470000000002,1,0
